user,rating_bucket,attempts,solved,solve_rate,expected_rate,performance_ratio,avg_rating,mastery,skill_score,weakness_score,is_weak
36champ,1200,1186,843,0.7108,0.78,0.9113,1255.52,6.7382,6.0132,0.0633,0
36champ,1800,2065,940,0.4552,0.5,0.9104,1849.89,6.8469,5.7657,0.0436,0
36champ,1600,1597,886,0.5548,0.6,0.9247,1648.98,6.7878,6.2098,0.0428,0
36champ,2000,1932,736,0.381,0.42,0.907,2043.89,6.6026,5.1409,0.0389,0
36champ,2200,1449,557,0.3844,0.35,1.0983,2249.73,6.3244,5.4693,0.0,0
36champ,2400,1019,375,0.368,0.28,1.3143,2438.67,5.9296,5.3215,0.0,0
36champ,2600,368,81,0.2201,0.22,1.0005,2632.1,4.4067,2.553,0.0,0
36champ,2800,133,30,0.2256,0.16,1.4098,2816.67,3.434,2.1817,0.0,0
36champ,3000,50,6,0.12,0.11,1.0909,3000.0,1.9459,0.7005,0.0,0
36champ,3200,67,11,0.1642,0.07,2.0,3218.18,2.4849,1.3129,0.0,0
79brue,3000,20,0,0.0,0.11,0.0,3000.0,0.0,0.0,0.3349,1
79brue,1200,260,141,0.5423,0.78,0.6953,1258.16,4.9558,3.3814,0.2221,1
79brue,2000,548,141,0.2573,0.42,0.6126,2047.52,4.9558,2.6109,0.1723,1
79brue,1800,634,228,0.3596,0.5,0.7192,1853.95,5.4337,3.6228,0.1408,1
79brue,800,236,181,0.7669,0.9,0.8522,827.62,5.204,3.3032,0.1173,0
79brue,1000,112,83,0.7411,0.85,0.8718,1057.83,4.4308,3.4734,0.0948,0
79brue,1400,279,171,0.6129,0.7,0.8756,1457.89,5.1475,4.5995,0.0798,0
79brue,3200,93,3,0.0323,0.07,0.4608,3200.0,1.3863,0.1431,0.0719,1
79brue,2200,514,151,0.2938,0.35,0.8394,2246.36,5.0239,3.3154,0.0583,0
79brue,2600,318,60,0.1887,0.22,0.8576,2640.0,4.1109,2.0477,0.0353,0
79brue,2400,482,127,0.2635,0.28,0.941,2452.76,4.852,3.1357,0.0174,0
79brue,1600,310,202,0.6516,0.6,1.086,1657.43,5.3132,5.7383,0.0,0
79brue,2800,147,24,0.1633,0.16,1.0204,2825.0,3.2189,1.4846,0.0,0
8Conan8,1000,91,70,0.7692,0.85,0.905,1054.29,4.2627,3.457,0.0694,0
8Conan8,800,203,188,0.9261,0.9,1.029,813.3,5.2417,3.9481,0.0,0
8Conan8,1200,126,106,0.8413,0.78,1.0786,1247.17,4.6728,4.9028,0.0,0
8Conan8,1400,81,65,0.8025,0.7,1.1464,1424.62,4.1897,4.7897,0.0,0
8Conan8,1600,220,135,0.6136,0.6,1.0227,1657.78,4.9127,4.9975,0.0,0
8Conan8,1800,297,182,0.6128,0.5,1.2256,1859.89,5.2095,5.9374,0.0,0
8Conan8,2000,233,136,0.5837,0.42,1.3897,2044.12,4.92,5.8702,0.0,0
8Conan8,2200,320,171,0.5344,0.35,1.5268,2263.74,5.1475,6.2269,0.0,0
8Conan8,2400,512,191,0.373,0.28,1.3323,2454.45,5.2575,4.8139,0.0,0
8Conan8,2600,145,47,0.3241,0.22,1.4734,2625.53,3.8712,3.2945,0.0,0
8Conan8,2800,152,61,0.4013,0.16,2.0,2824.59,4.1271,4.6783,0.0,0
8Conan8,3000,50,23,0.46,0.11,2.0,3021.74,3.1781,4.4175,0.0,0
8Conan8,3200,33,15,0.4545,0.07,2.0,3253.33,2.7726,4.1001,0.0,0
8Conan8,3400,20,4,0.2,0.04,2.0,3400.0,1.6094,1.0944,0.0,0
A.D.,1200,1054,489,0.4639,0.78,0.5948,1254.4,6.1944,3.605,0.3058,1
A.D.,1000,733,415,0.5662,0.85,0.6661,1052.29,6.0307,3.5929,0.2664,1
A.D.,1600,1624,586,0.3608,0.6,0.6014,1652.22,6.375,3.8007,0.2398,1
A.D.,1400,1294,588,0.4544,0.7,0.6491,1447.28,6.3784,4.1948,0.2385,1
A.D.,800,944,649,0.6875,0.9,0.7639,821.11,6.477,3.6563,0.1947,0
A.D.,2000,1914,458,0.2393,0.42,0.5697,2044.98,6.1291,2.9992,0.1916,1
A.D.,1800,1654,531,0.321,0.5,0.6421,1851.98,6.2766,3.7318,0.1823,1
A.D.,3200,4,0,0.0,0.07,0.0,3200.0,0.0,0.0,0.1127,0
A.D.,3400,8,0,0.0,0.04,0.0,3400.0,0.0,0.0,0.0879,0
A.D.,2600,713,109,0.1529,0.22,0.6949,2632.11,4.7005,1.8914,0.0774,1
A.D.,2200,1378,403,0.2925,0.35,0.8356,2253.85,6.0014,3.9558,0.0594,0
A.D.,2400,1288,333,0.2585,0.28,0.9234,2432.43,5.8111,3.6545,0.0226,0
A.D.,2800,203,41,0.202,0.16,1.2623,2824.39,3.7377,2.1321,0.0,0
A.D.,3000,12,3,0.25,0.11,2.0,3100.0,1.3863,1.0744,0.0,0
