user,tag,weakness
rkb_rd,implementation,0.2519447158684759
rkb_rd,interactive,0.2326337276483628
rkb_rd,math,0.16838301640147174
rkb_rd,meet-in-the-middle,0.00011663621165584542
rkb_rd,number theory,0.059715898037099174
rkb_rd,probabilities,0.000583181058279227
rkb_rd,shortest paths,0.1824145711747283
rkb_rd,sortings,0.20275374999606988
rkb_rd,string suffix structures,0.3016646219330795
rkb_rd,strings,0.12764614205330616
rkb_rd,ternary search,0.7506220597954978
rkb_rd,trees,0.39046941611336455
rkb_rd,two pointers,0.12321283506486849
shimolnaha108,2-sat,3.887873721861514e-05
shimolnaha108,binary search,0.15923289211566416
shimolnaha108,bitmasks,0.16732662817326568
shimolnaha108,brute force,0.1320594043303821
shimolnaha108,combinatorics,0.08516430923823595
shimolnaha108,constructive algorithms,0.11874934430624637
shimolnaha108,data structures,0.14122693518914503
shimolnaha108,dfs and similar,0.12655625533712422
shimolnaha108,dp,0.22244499116397237
shimolnaha108,dsu,0.00023327242331169085
shimolnaha108,flows,0.47048700658202625
shimolnaha108,games,0.0009719684304653784
shimolnaha108,geometry,0.12293610938227474
shimolnaha108,graph matchings,0.47048700658202625
shimolnaha108,graphs,0.141072029340487
shimolnaha108,greedy,0.12654764685596803
shimolnaha108,hashing,0.4875035818836605
shimolnaha108,implementation,0.09873544342733365
shimolnaha108,interactive,3.887873721861514e-05
shimolnaha108,math,0.11322559958770619
shimolnaha108,matrices,3.887873721861514e-05
shimolnaha108,number theory,0.1268439687029379
shimolnaha108,probabilities,0.00011663621165584542
shimolnaha108,shortest paths,0.4853407001340597
shimolnaha108,sortings,0.0894647507039855
shimolnaha108,string suffix structures,3.887873721861514e-05
shimolnaha108,strings,0.124969661911001
shimolnaha108,trees,0.00015551494887446055
shimolnaha108,two pointers,0.11164611847647182
tuhin107494,binary search,0.349830577982827
tuhin107494,bitmasks,0.14030915443213343
tuhin107494,brute force,0.2022291512771666
tuhin107494,chinese remainder theorem,1.5667055454038852
tuhin107494,combinatorics,0.10650034082159276
tuhin107494,constructive algorithms,0.19428630079030096
tuhin107494,data structures,0.28115861260133224
tuhin107494,dfs and similar,0.4625216313599134
tuhin107494,divide and conquer,1.07419071028573
tuhin107494,dp,0.2936603294325
tuhin107494,dsu,0.4391449640001407
tuhin107494,expression parsing,7.775747443723027e-05
tuhin107494,flows,0.00011663621165584542
tuhin107494,games,0.10436674933957901
tuhin107494,geometry,0.2993874918942633
tuhin107494,graphs,0.3433337113849595
tuhin107494,greedy,0.2061217722865843
tuhin107494,hashing,0.0015162707515259904
tuhin107494,implementation,0.1333800764756837
tuhin107494,math,0.18278425151338842
tuhin107494,matrices,1.4333722120705519
tuhin107494,number theory,0.15524331830193655
tuhin107494,probabilities,3.887873721861514e-05
tuhin107494,schedules,7.775747443723027e-05
tuhin107494,shortest paths,0.00011663621165584542
tuhin107494,sortings,0.17439595133547697
tuhin107494,string suffix structures,0.0013607558026515298
tuhin107494,strings,0.1135167829140909
tuhin107494,ternary search,0.49652956871960807
tuhin107494,trees,0.5112737898273065
tuhin107494,two pointers,0.09912226049946653
